@name	KPS-9566
@filename-kte	kps-9566.kte
@filename-txt	VENDORS/MISC/KPS9566.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/VENDORS/MISC/KPS9566.TXT
@cite-author	Unicode, Inc.
@cite-title	KPS 9566-2003 to Unicode
@cite-publisher	Unicode, Inc.
@cite-date	27 April 2011
@cite-url	http://www.unicode.org/Public/MAPPINGS/VENDORS/MISC/KPS9566.TXT
@cite-copyright	2011 Unicode, Inc.
@import	fragments/ascii-all.txt
0x83BE	0xB183
0x83BF	0xB184
0x83C0	0xB185
0x83C1	0xB186
0x83C2	0xB187
0x83C3	0xB18A
0x83C4	0xB18E
0x83C5	0xB18F
0x83C6	0xB190
0x83C7	0xB191
0x83C8	0xB17A
0x83C9	0xB18C
0x83CA	0xB1EB
0x83CB	0xB1ED
0x83CC	0xB1EE
0x83CD	0xB1EF
0x83CE	0xB1F1
0x83CF	0xB1F2
0x83D0	0xB1F3
0x83D1	0xB1F4
0x83D2	0xB1F5
0x83D3	0xB1F6
0x83D4	0xB1F7
0x83D5	0xB1FA
0x83D6	0xB1FE
0x83D7	0xB1FF
0x83D8	0xB200
0x83D9	0xB201
0x83DA	0xB202
0x83DB	0xB203
0x83DC	0xB1EA
0x83DD	0xB1FC
0x83DE	0xB207
0x83DF	0xB209
0x83E0	0xB20A
0x83E1	0xB20D
0x83E2	0xB20E
0x83E3	0xB20F
0x83E4	0xB210
0x83E5	0xB211
0x83E6	0xB212
0x83E7	0xB213
0x83E8	0xB216
0x83E9	0xB21A
0x83EA	0xB21B
0x83EB	0xB21C
0x83EC	0xB21D
0x83ED	0xB21F
0x83EE	0xB206
0x83EF	0xB218
0x83F0	0xB277
0x83F1	0xB279
0x83F2	0xB27A
0x83F3	0xB27B
0x83F4	0xB27D
0x83F5	0xB27E
0x83F6	0xB27F
0x83F7	0xB280
0x83F8	0xB281
0x83F9	0xB282
0x83FA	0xB283
0x83FB	0xB286
0x83FC	0xB287
0x83FD	0xB28A
0x83FE	0xB28B
0x8441	0xB28C
0x8442	0xB28D
0x8443	0xB28E
0x8444	0xB28F
0x8445	0xB276
0x8446	0xB288
0x8447	0xB293
0x8448	0xB295
0x8449	0xB296
0x844A	0xB297
0x844B	0xB29B
0x844C	0xB29C
0x844D	0xB29D
0x844E	0xB29E
0x844F	0xB29F
0x8450	0xB2A2
0x8451	0xB2A7
0x8452	0xB2A8
0x8453	0xB2A9
0x8454	0xB2AB
0x8455	0xB292
