@name	CNS 11643
@alias	CNS 11643-1986
@filename-kte	cns-11643.kte
@filename-txt	OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@cite-author	Unicode, Inc.
@cite-title	CNS 11643-1986 to Unicode table (complete)
@cite-publisher	Unicode, Inc.
@cite-date	21 Oct 1994
@cite-url	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@cite-copyright	1991-1994 Unicode, Inc.
0x014221	0x2400
0x014222	0x2401
0x014223	0x2402
0x014224	0x2403
0x014225	0x2404
0x014226	0x2405
0x014227	0x2406
0x014228	0x2407
0x014229	0x2408
0x01422A	0x2409
0x01422B	0x240A
0x01422C	0x240B
0x01422D	0x240C
0x01422E	0x240D
0x01422F	0x240E
0x014230	0x240F
0x014231	0x2410
0x014232	0x2411
0x014233	0x2412
0x014234	0x2413
0x014235	0x2414
0x014236	0x2415
0x014237	0x2416
0x014238	0x2417
0x014239	0x2418
0x01423A	0x2419
0x01423B	0x241A
0x01423C	0x241B
0x01423D	0x241C
0x01423E	0x241D
0x01423F	0x241E
0x014240	0x241F
0x014241	0x2421
0x014421	0x4E00
0x014422	0x4E59
0x014423	0x4E01
0x014424	0x4E03
0x014425	0x4E43
0x014426	0x4E5D
0x014427	0x4E86
0x014428	0x4E8C
0x014429	0x4EBA
0x01442A	0x513F
0x01442B	0x5165
0x01442C	0x516B
0x01442D	0x51E0
0x01442E	0x5200
0x01442F	0x5201
0x014430	0x529B
0x014431	0x5315
0x014432	0x5341
0x014433	0x535C
0x014434	0x53C8
0x014435	0x4E09
0x014436	0x4E0B
0x014437	0x4E08
0x014438	0x4E0A
0x014439	0x4E2B
0x01443A	0x4E38
0x01443B	0x51E1
0x01443C	0x4E45
0x01443D	0x4E48
0x01443E	0x4E5F
0x01443F	0x4E5E
0x014440	0x4E8E
0x014441	0x4EA1
0x014442	0x5140
0x014443	0x5203
0x014444	0x52FA
0x014445	0x5343
0x014446	0x53C9
0x014447	0x53E3
0x014448	0x571F
0x014449	0x58EB
0x01444A	0x5915
0x01444B	0x5927
0x01444C	0x5973
0x01444D	0x5B50
0x01444E	0x5B51
0x01444F	0x5B53
0x014450	0x5BF8
0x014451	0x5C0F
0x014452	0x5C22
0x014453	0x5C38
0x014454	0x5C71
0x014455	0x5DDD
0x014456	0x5DE5
0x014457	0x5DF1
0x014458	0x5DF2
0x014459	0x5DF3
0x01445A	0x5DFE
0x01445B	0x5E72
0x01445C	0x5EFE
0x01445D	0x5F0B
0x01445E	0x5F13
0x01445F	0x624D
0x014460	0x4E11
0x014461	0x4E10
0x014462	0x4E0D
0x014463	0x4E2D
0x014464	0x4E30
0x014465	0x4E39
0x014466	0x4E4B
0x014467	0x5C39
0x014468	0x4E88
0x014469	0x4E91
0x01446A	0x4E95
0x01446B	0x4E92
0x01446C	0x4E94
0x01446D	0x4EA2
0x01446E	0x4EC1
0x01446F	0x4EC0
0x014470	0x4EC3
0x014471	0x4EC6
0x014472	0x4EC7
0x014473	0x4ECD
0x014474	0x4ECA
0x014475	0x4ECB
0x014476	0x4EC4
0x014477	0x5143
0x014478	0x5141
0x014479	0x5167
0x01447A	0x516D
0x01447B	0x516E
0x01447C	0x516C
0x01447D	0x5197
0x01447E	0x51F6
0x014521	0x5206
0x014522	0x5207
0x014523	0x5208
0x014524	0x52FB
0x014525	0x52FE
0x014526	0x52FF
0x014527	0x5316
0x014528	0x5339
0x014529	0x5348
0x01452A	0x5347
0x01452B	0x5345
0x01452C	0x535E
0x01452D	0x5384
0x01452E	0x53CB
