F48F;SABINE SERIF CAPITAL LETTER O;Lu;0;L;<font> 004F;;;;N;;;;F4AF;
F490;SABINE SERIF CAPITAL LETTER P;Lu;0;L;<font> 0050;;;;N;;;;F4B0;
F491;SABINE SERIF CAPITAL LETTER Q;Lu;0;L;<font> 0051;;;;N;;;;F4B1;
F492;SABINE SERIF CAPITAL LETTER R;Lu;0;L;<font> 0052;;;;N;;;;F4B2;
F493;SABINE SERIF CAPITAL LETTER S;Lu;0;L;<font> 0053;;;;N;;;;F4B3;
F494;SABINE SERIF CAPITAL LETTER T;Lu;0;L;<font> 0054;;;;N;;;;F4B4;
F495;SABINE SERIF CAPITAL LETTER U;Lu;0;L;<font> 0055;;;;N;;;;F4B5;
F496;SABINE SERIF CAPITAL LETTER V;Lu;0;L;<font> 0056;;;;N;;;;F4B6;
F497;SABINE SERIF CAPITAL LETTER W;Lu;0;L;<font> 0057;;;;N;;;;F4B7;
F498;SABINE SERIF CAPITAL LETTER X;Lu;0;L;<font> 0058;;;;N;;;;F4B8;
F499;SABINE SERIF CAPITAL LETTER Y;Lu;0;L;<font> 0059;;;;N;;;;F4B9;
F49A;SABINE SERIF CAPITAL LETTER Z;Lu;0;L;<font> 005A;;;;N;;;;F4BA;
F49B;SABINE SERIF LEFT SQUARE BRACKET;Ps;0;ON;<font> 005B;;;;Y;;;;;
F49C;SABINE SERIF REVERSE SOLIDUS;Po;0;ON;<font> 005C;;;;N;;;;;
F49D;SABINE SERIF RIGHT SQUARE BRACKET;Pe;0;ON;<font> 005D;;;;Y;;;;;
F49E;SABINE SERIF CIRCUMFLEX ACCENT;Sk;0;ON;<font> 005E;;;;N;;;;;
F49F;SABINE SERIF LOW LINE;Pc;0;ON;<font> 005F;;;;N;;;;;
F4A0;SABINE SERIF GRAVE ACCENT;Sk;0;ON;<font> 0060;;;;N;;;;;
F4A1;SABINE SERIF SMALL LETTER A;Ll;0;L;<font> 0061;;;;N;;;F481;;F481
F4A2;SABINE SERIF SMALL LETTER B;Ll;0;L;<font> 0062;;;;N;;;F482;;F482
F4A3;SABINE SERIF SMALL LETTER C;Ll;0;L;<font> 0063;;;;N;;;F483;;F483
F4A4;SABINE SERIF SMALL LETTER D;Ll;0;L;<font> 0064;;;;N;;;F484;;F484
F4A5;SABINE SERIF SMALL LETTER E;Ll;0;L;<font> 0065;;;;N;;;F485;;F485
F4A6;SABINE SERIF SMALL LETTER F;Ll;0;L;<font> 0066;;;;N;;;F486;;F486
F4A7;SABINE SERIF SMALL LETTER G;Ll;0;L;<font> 0067;;;;N;;;F487;;F487
F4A8;SABINE SERIF SMALL LETTER H;Ll;0;L;<font> 0068;;;;N;;;F488;;F488
F4A9;SABINE SERIF SMALL LETTER I;Ll;0;L;<font> 0069;;;;N;;;F489;;F489
F4AA;SABINE SERIF SMALL LETTER J;Ll;0;L;<font> 006A;;;;N;;;F48A;;F48A
F4AB;SABINE SERIF SMALL LETTER K;Ll;0;L;<font> 006B;;;;N;;;F48B;;F48B
F4AC;SABINE SERIF SMALL LETTER L;Ll;0;L;<font> 006C;;;;N;;;F48C;;F48C
F4AD;SABINE SERIF SMALL LETTER M;Ll;0;L;<font> 006D;;;;N;;;F48D;;F48D
F4AE;SABINE SERIF SMALL LETTER N;Ll;0;L;<font> 006E;;;;N;;;F48E;;F48E
F4AF;SABINE SERIF SMALL LETTER O;Ll;0;L;<font> 006F;;;;N;;;F48F;;F48F
F4B0;SABINE SERIF SMALL LETTER P;Ll;0;L;<font> 0070;;;;N;;;F490;;F490
F4B1;SABINE SERIF SMALL LETTER Q;Ll;0;L;<font> 0071;;;;N;;;F491;;F491
F4B2;SABINE SERIF SMALL LETTER R;Ll;0;L;<font> 0072;;;;N;;;F492;;F492
F4B3;SABINE SERIF SMALL LETTER S;Ll;0;L;<font> 0073;;;;N;;;F493;;F493
F4B4;SABINE SERIF SMALL LETTER T;Ll;0;L;<font> 0074;;;;N;;;F494;;F494
F4B5;SABINE SERIF SMALL LETTER U;Ll;0;L;<font> 0075;;;;N;;;F495;;F495
F4B6;SABINE SERIF SMALL LETTER V;Ll;0;L;<font> 0076;;;;N;;;F496;;F496
F4B7;SABINE SERIF SMALL LETTER W;Ll;0;L;<font> 0077;;;;N;;;F497;;F497
F4B8;SABINE SERIF SMALL LETTER X;Ll;0;L;<font> 0078;;;;N;;;F498;;F498
F4B9;SABINE SERIF SMALL LETTER Y;Ll;0;L;<font> 0079;;;;N;;;F499;;F499
F4BA;SABINE SERIF SMALL LETTER Z;Ll;0;L;<font> 007A;;;;N;;;F49A;;F49A
F4BB;SABINE SERIF LEFT CURLY BRACKET;Ps;0;ON;<font> 007B;;;;Y;;;;;
F4BC;SABINE SERIF VERTICAL LINE;Sm;0;ON;<font> 007C;;;;N;;;;;
F4BD;SABINE SERIF RIGHT CURLY BRACKET;Pe;0;ON;<font> 007D;;;;Y;;;;;
F4BE;SABINE SERIF TILDE;Sm;0;ON;<font> 007E;;;;N;;;;;
F4BF;SABINE SERIF TEXT CURSOR;So;0;ON;;;;;N;;;;;
F4C0;SABINE SWASHED CAPITAL LETTER E;Lu;0;L;<font> 0045;;;;N;;;;;
F4C1;SABINE LETTER SMALL CAPITAL A;Ll;0;L;;;;;N;;;;;
F4C2;SABINE LETTER SMALL CAPITAL B;Ll;0;L;;;;;N;;;;;
F4C3;SABINE LETTER SMALL CAPITAL C;Ll;0;L;;;;;N;;;;;
F4C4;SABINE LETTER SMALL CAPITAL D;Ll;0;L;;;;;N;;;;;
F4C5;SABINE LETTER SMALL CAPITAL E;Ll;0;L;;;;;N;;;;;
F4C6;SABINE LETTER SMALL CAPITAL F;Ll;0;L;;;;;N;;;;;
F4C7;SABINE LETTER SMALL CAPITAL G;Ll;0;L;;;;;N;;;;;
F4C8;SABINE LETTER SMALL CAPITAL H;Ll;0;L;;;;;N;;;;;
F4C9;SABINE LETTER SMALL CAPITAL I;Ll;0;L;;;;;N;;;;;
F4CA;SABINE LETTER SMALL CAPITAL J;Ll;0;L;;;;;N;;;;;
F4CB;SABINE LETTER SMALL CAPITAL K;Ll;0;L;;;;;N;;;;;
F4CC;SABINE LETTER SMALL CAPITAL L;Ll;0;L;;;;;N;;;;;
F4CD;SABINE LETTER SMALL CAPITAL M;Ll;0;L;;;;;N;;;;;
F4CE;SABINE LETTER SMALL CAPITAL N;Ll;0;L;;;;;N;;;;;
